asof_date,market_scope,forecast_horizon,label_policy,model_name,ensemble_members,decision_method,predicted_direction,prob_down,prob_sideways,prob_up,confidence,down_threshold,up_threshold,rule_name,confidence_floor,recommended_exposure,candidate_type,selection_sharpe,selection_sharpe_lift,selection_mdd_improvement,selection_cumulative_return,selection_buyhold_cumulative_return,train_start,train_end,train_count,feature_count,model_status,release_stage,production_ready,quality_warnings,source_generated_at
2026-05-22,KOSDAQ,10d,existing,logistic,,argmax,sideways,0.4425742686735749,0.5002288470116683,0.057196884314756884,0.5002288470116683,,,up_only_100_0_0,0.0,0.0,argmax_best,0.2877619163346321,0.1909745942990809,0.186138432617926,0.1753734466562762,0.1164386583252083,2020-01-02,2026-05-08,1551,130,ok,research_beta,True,,2026-05-27T13:10:38+09:00
2026-05-22,KOSDAQ,20d,q2020,logistic,,threshold,down,0.9519168510591042,0.04060648059868028,0.007476668342215457,0.9519168510591042,0.46,0.42,up_only_100_0_0,0.6,0.0,selected,0.030212647003976,-0.0844351835294864,0.1520535538704227,0.0167530029079219,0.1382723180970047,2020-01-02,2026-04-22,1545,130,ok,research_beta,True,,2026-05-27T13:10:38+09:00
2026-05-22,KOSDAQ,5d,vol_adjusted_wide_q2020,random_forest,,argmax,down,0.37770541156212273,0.285620955891051,0.3366736325468256,0.37770541156212273,,,cash_heavy_70_20_0,0.6,0.2,argmax_best,0.1643611322777376,0.1410025462461631,0.302017514455116,0.0386811484978171,0.027435375152361,2020-03-27,2026-05-15,1497,162,ok,research_beta,True,low_confidence_fallback,2026-05-27T13:10:40+09:00
2026-05-22,KOSDAQ,60d,q2020,logistic,,threshold,down,0.9985661237105019,0.0013609343856185068,7.294190387942457e-05,0.9985661237105019,0.36,0.42,moderate_80_40_0,0.0,0.0,selected,0.2945990651090526,0.1707032246274844,0.17575901665567,0.1668772642212261,0.1294902985425172,2020-01-02,2026-02-24,1505,130,ok,research_beta,True,,2026-05-27T13:10:40+09:00
2026-05-22,KOSPI,10d,vol_adjusted_q2020,ensemble_mean_all,"logistic,logistic_calibrated,hist_gradient_boosting,random_forest,extra_trees",threshold,up,0.3427963538511163,0.14312026674804174,0.5140833794008419,0.5140833794008419,0.5,0.5,moderate_80_40_0,0.6,0.4,selected,1.0139200096006915,0.0186921310327353,0.147852949807234,0.4941812150299518,1.416064944265487,2020-03-27,2026-05-08,1493,130,ok,research_beta,True,low_confidence_fallback,2026-05-27T13:10:44+09:00
2026-05-22,KOSPI,20d,vol_adjusted_wide_q2020,logistic,,argmax,up,0.19640022156046102,0.26524975248833893,0.5383500259512001,0.5383500259512001,,,up_only_100_0_0,0.0,1.0,argmax_best,0.617100807278397,-0.2581817835886567,0.0496444115349076,0.4151787730367926,1.1663734192469462,2020-03-27,2026-04-22,1487,130,ok,research_beta,True,,2026-05-27T13:10:45+09:00
2026-05-22,KOSPI,5d,vol_adjusted_wide_q2020,ensemble_mean_all,"logistic,logistic_calibrated,hist_gradient_boosting,random_forest,extra_trees",argmax,up,0.28131947192238554,0.15089421575294001,0.5677863123246744,0.5677863123246744,,,cash_heavy_70_20_0,0.6,0.2,argmax_best,0.958436938298844,0.0262889431185024,0.2144848106412268,0.2062269164549581,1.321488514028697,2020-03-27,2026-05-15,1498,162,ok,research_beta,True,low_confidence_fallback,2026-05-27T13:10:50+09:00
2026-05-22,KOSPI,60d,existing,ensemble_mean_all,"logistic,logistic_calibrated,hist_gradient_boosting,random_forest,extra_trees",threshold,up,0.19070282310043435,0.19865176633609413,0.6106454105634714,0.6106454105634714,0.58,0.36,defensive_100_30_0,0.45,1.0,selected,1.4764763786755908,0.499846518860817,0.1166661807277364,0.7582411118235277,1.035253068725419,2020-01-02,2026-02-24,1506,130,ok,research_beta,True,,2026-05-27T13:10:54+09:00
2026-05-22,KOSPI200,10d,existing,extra_trees,,threshold,up,0.34552110915226436,0.2202393046756054,0.4342395861721311,0.4342395861721311,0.34,0.42,baseline_100_50_0,0.45,0.5,selected,1.1128817588998714,0.0030457813709972,0.1341969259186866,0.7305353932303289,1.8032794215405223,2020-01-02,2026-05-08,1552,130,ok,research_beta,True,low_confidence_fallback,2026-05-27T13:10:55+09:00
2026-05-22,KOSPI200,20d,existing,logistic,,threshold,up,0.08000169603314437,0.045505037670445427,0.8744932662964101,0.8744932662964101,0.56,0.34,up_only_100_0_0,0.0,1.0,selected,1.5778007179775375,0.6008334993053126,0.1663623130252159,1.2887114619457227,1.4674254177469823,2020-01-02,2026-04-22,1546,130,ok,research_beta,True,,2026-05-27T13:10:55+09:00
2026-05-22,KOSPI200,5d,vol_adjusted_wide_q2020,random_forest,,argmax,up,0.35750437029757637,0.2415882421732044,0.400907387529219,0.400907387529219,,,moderate_80_40_0,0.6,0.4,argmax_best,1.0687729207983003,0.0151307965393308,0.1632369178613464,0.5600610912400348,1.7103954650180992,2020-03-27,2026-05-15,1498,162,ok,research_beta,True,low_confidence_fallback,2026-05-27T13:10:57+09:00
2026-05-22,KOSPI200,60d,existing,ensemble_mean_all,"logistic,logistic_calibrated,hist_gradient_boosting,random_forest,extra_trees",argmax,up,0.2091553972260666,0.15775536543663934,0.6330892373372939,0.6330892373372939,,,defensive_100_30_0,0.5,1.0,argmax_best,1.6034161801782347,0.5196034896932149,0.1665277392711797,0.712349702548992,1.2858624963116876,2020-01-02,2026-02-24,1506,130,ok,research_beta,True,,2026-05-27T13:11:01+09:00
